t,x,cp,cn,phi
0.01,0.45,1.000035904238987,0.9999418015972023,-0.04986028711688545
0.01,0.46,1.0000252423670934,0.9999563924441781,-0.03988821986152946
0.01,0.47000000000000003,1.0000162777116421,0.9999682573031357,-0.029916159446932572
0.01,0.48,1.0000084314375266,0.999978092576803,-0.01994410380289638
0.01,0.49,1.000001180538722,0.9999865040860134,-0.009972051172554258
0.01,0.5,0.9999940330272336,0.9999940330272339,1.8318679906315083e-15
0.01,0.51,0.9999865040860131,1.0000011805387223,0.009972051172558144
0.01,0.52,0.9999780925768027,1.0000084314375268,0.019944103802900043
0.01,0.53,0.9999682573031352,1.0000162777116426,0.02991615944693629
0.01,0.54,0.9999563924441777,1.000025242367094,0.03988821986153332
0.01,0.55,0.9999418015972019,1.000035904238987,0.04986028711688917
0.01,0.56,0.9999236698961196,1.0000489243785706,0.059832363723516135
0.01,0.5700000000000001,0.9999010337121345,1.0000650746244122,0.06980445277924316
0.01,0.58,0.9998727474918377,1.0000852689538076,0.07977655814211779
0.01,0.59,0.9998374473499769,1.000110598188812,0.08974868463565008
0.01,0.6,0.9997935111106788,1.000142368597832,0.09972083829349768
0.01,0.61,0.9997390145840794,1.0001821448861776,0.10969302665144665
0.01,0.62,0.9996716839768038,1.0002317980049125,0.11966525909534842
0.01,0.63,0.9995888444657823,1.0002935581242391,0.12963754727455548
0.01,0.64,0.9994873651160942,1.0003700730133018,0.13960990559129105
0.01,0.65,0.999363600494601,1.0004644719407647,0.14958235177730378
0.01,0.66,0.9992133295207672,1.0005804350586227,0.15955490757004284
0.01,0.67,0.9990316923017268,1.0007222680550125,0.16952759950141444
0.01,0.68,0.9988131259164815,1.0008949816610078,0.17950045981291934
0.01,0.6900000000000001,0.9985513003388279,1.0011043753734552,0.18947352751155966
0.01,0.7000000000000001,0.9982390559135169,1.0013571245142099,0.19944684958132017
0.01,0.71,0.9978683440172199,1.00166086949064,0.2094204823652097
0.01,0.72,0.9974301727358492,1.0020243058595417,0.2193944931327582
0.01,0.73,0.9969145595625322,1.0024572735347717,0.2293689618474422
0.01,0.74,0.9963104932552423,1.0029708432276512,0.23934398314773442
0.01,0.75,0.9956059070788564,1.0035773979793545,0.24931966855427806
0.01,0.76,0.9947876656826148,1.004290707447942,0.25929614891406294
0.01,0.77,0.9938415678209566,1.0051259924617728,0.26927357709039196
0.01,0.78,0.9927523670053198,1.0060999772580752,0.279252130904869
